block_no,lot_no,capacity,lat_long1,lat_long2,lat_long3,lat_long4
memory f-1,1,1,"14.111401071791715, 121.55021320020109","14.111371157192366, 121.5502406928427","14.111402372426372, 121.55027422045443","14.111430986387134, 121.55024941002175"
memory f-1,2,1,"14.111433112998776, 121.55025332647473","14.11141360348065, 121.55027076083424","14.111435714267724, 121.55029825347806","14.111457174735486, 121.55027947801399"
memory f-1,3,1,"14.1113713328523, 121.55024125653355","14.111349222058978, 121.55026807862507","14.11137198316973, 121.55029825347806","14.111399946816967, 121.55027076083424"
memory f-1,4,0,"14.111401247451639, 121.55027880746171","14.111379786978596, 121.55030026513492","14.111401897768967, 121.5503297694356","14.11142335823991, 121.5503029473441"
memory f-1,5,1,"14.11134271888406, 121.55027344304338","14.111308252053902, 121.55030630010553","14.111335565391443, 121.55033245164478","14.111363529043143, 121.5503029473441"
memory f-1,6,1,"14.111366130312893, 121.5503076412101","14.111336866026482, 121.55033848661539","14.111361578090813, 121.55036664981148","14.111394093960842, 121.55033714551078"
memory f-1,7,0,"14.111301098559414, 121.55031166452325","14.111278987759274, 121.55033379274876","14.111329712532886, 121.55034183937624","14.11132711126273, 121.55034116882393"
memory f-1,8,1,"14.111334264755614, 121.55034854489911","14.111315405546609, 121.55036664981091","14.11134922205819, 121.55036866146776","14.111347921423226, 121.55036664981091"
memory f-1,9,1,"14.111275085853148, 121.55034318048081","14.111250373779429, 121.55036664981091","14.111268582676118, 121.55039146024559","14.111294595383134, 121.55036933202007"
memory f-1,10,1,"14.11130369982989, 121.55037369061188","14.111280938712328, 121.55039648938761","14.111302399194646, 121.55041492957324","14.111323209357407, 121.55040218908131"
memory f-1,11,0,"14.111242569966125, 121.55037804919981","14.111219808842458, 121.55040084797763","14.111237367423776, 121.55042431730773","14.11126403045208, 121.55039749521619"
memory f-1,12,1,"14.111270533629238, 121.55040353018677","14.111243220283912, 121.55042968172603","14.111264680769803, 121.55045717436985","14.111293294747854, 121.55043236393517"
memory f-1,13,1,"14.111212005028097, 121.55041023570968","14.111183391039855, 121.55043772835351","14.111201599941888, 121.55046455044503","14.111231514563489, 121.55043638724891"
memory f-1,14,1,"14.111237367423776, 121.55044242221952","14.111206152167172, 121.55046924431105","14.111221759795997, 121.55048667867057","14.111250373779429, 121.55046119768359"
memory f-1,15,1,"14.111174936906282, 121.55044510442868","14.111154777048016, 121.55046857375878","14.111171685316355, 121.55048734922283","14.111194446444832, 121.5504658915496"
memory f-1,16,0,"14.111197698034442, 121.55046857375878","14.111174936906282, 121.550490031432","14.111185341993712, 121.55050411303006","14.11120485153137, 121.55048265535683"
memory f-1,17,1,"14.111143721641119, 121.55047058541564","14.111120310189436, 121.55049673695488","14.111139819732667, 121.55052355904644","14.111169734362383, 121.55049941916405"
memory f-1,18,0,"14.111171685316355, 121.55050210137318","14.111145022277253, 121.55052825291244","14.111161930546306, 121.55054367561507","14.111183391039855, 121.55051551241895"
memory f-1,19,1,"14.111111205735355, 121.55050411303006","14.111085843325654, 121.55052892346474","14.111107954144522, 121.55055306334712","14.111133966869884, 121.55052892346474"
memory f-1,20,1,"14.111137218460335, 121.55053697009218","14.111111856053522, 121.5505604394223","14.111130715279373, 121.5505772032295","14.111155427366056, 121.55055306334712"
,,,,,,
memory f-2,1,1,"14.111463691069682, 121.55029882909305","14.11144743314021, 121.5503129106911","14.111465642021138, 121.55033436836433","14.111481249632213, 121.55031492234798"
memory f-2,2,0,"14.11149035407151, 121.55031827510942","14.111468243289726, 121.55034040333493","14.11147604709531, 121.55035649658986","14.111498157876328, 121.55033772112577"
memory f-2,3,0,"14.111437678381966, 121.55031559290028","14.111412966325881, 121.55033906223036","14.111431825526818, 121.55036454321733","14.111453285994951, 121.55034174443949"
memory f-2,4,0,"14.111459789166714, 121.55034576775324","14.111437028064726, 121.55036856653108","14.111458488532373, 121.55039270641342","14.111479948998, 121.55037057818791"
memory f-2,5,0,"14.111405812835462, 121.55033973278265","14.111374597601927, 121.55037258984477","14.111395407758085, 121.55039337696573","14.111424021719737, 121.5503665548742"
memory f-2,6,1,"14.111426622988786, 121.55037191929249","14.111394757440754, 121.55040276469776","14.111418168864219, 121.5504309278939","14.11145198536057, 121.5504007530409"
memory f-2,7,1,"14.111368744745164, 121.55038667144285","14.11134598363409, 121.55040947022064","14.111360940935903, 121.55042690458015","14.111382401410715, 121.55040678801151"
memory f-2,8,1,"14.111390205219235, 121.55041349353438","14.111367444110302, 121.55043495120762","14.111382401410715, 121.55045171501482","14.111405812835462, 121.55043159844618"
memory f-2,9,1,"14.11133622887151, 121.55042355181872","14.11131736966267, 121.55044433893964","14.111327774743598, 121.55045774998543","14.111348584904045, 121.5504362923122"
memory f-2,10,1,"14.111361591252075, 121.55044031562441","14.111334928235172, 121.55046646716363","14.111348584902757, 121.55048457207543","14.111375247918058, 121.55046043219306"
